,step,Lagrangian_val,Train_val,Probability_violations_train,Violations_train,Avg_prob_train,A_norm,lam_list,mu,alpha,alphagrad,gradnorm,Rho
82,82,548.6704893856707,-4.160476670669118,[0.03],9.91443189540283,0.03,37.65557526378595,[51.09519425],1.0020009999999997,0.005181497858721828,tensor(-122.0589),"[np.float64(0.5762156386736264), np.float64(9.14989024439634), np.float64(0.023528408825930408), np.float64(2.4725800990128106)]",1.0
83,83,545.6725617033892,-4.158932357745514,[0.03],9.864683327815857,0.03,37.67784796377452,[51.09519425],1.0020009999999997,0.005220217125312876,tensor(-121.9592),"[np.float64(0.5762869914668508), np.float64(9.149827753859311), np.float64(0.023724132534230585), np.float64(2.4726537462546765)]",1.0
84,84,542.6510349326859,-4.157356658402552,[0.03],9.814504689682758,0.03,37.70018858350857,[51.09519425],1.0020009999999997,0.005257925553305628,tensor(-121.8587),"[np.float64(0.5763599445483754), np.float64(9.14976512018603), np.float64(0.023920625405421544), np.float64(2.4727274946104973)]",1.0
85,85,539.6088508043425,-4.15575288898683,[0.03],9.763943473646014,0.03,37.722589239730745,[51.09519425],1.0020009999999997,0.005294727657543445,tensor(-121.7574),"[np.float64(0.5764343300667694), np.float64(9.149702356197691), np.float64(0.024117774475563514), np.float64(2.47280133379775)]",1.0
86,86,536.548626696372,-4.154124008469513,[0.03],9.713041962368901,0.03,37.74504306224944,[51.09519425],1.0020009999999997,0.005330717917117559,tensor(-121.6553),"[np.float64(0.5765099976220319), np.float64(9.14963947357153), np.float64(0.0243154852449195), np.float64(2.4728752544773505)]",1.0
87,87,533.4726919357423,-4.152472657458502,[0.03],9.661837810038225,0.03,37.76754406194149,[51.09519425],1.0020009999999997,0.005365981722637159,tensor(-121.5527),"[np.float64(0.5765868124320327), np.float64(9.149576482945033), np.float64(0.024513678339488545), np.float64(2.472949248162596)]",1.0
88,88,530.383119752681,-4.150801192910723,[0.03],9.610364554088045,0.03,37.790087019158484,[51.09519425],1.0020009999999997,0.00540059623517361,tensor(-121.4496),"[np.float64(0.5766646536936907), np.float64(9.149513394012255), np.float64(0.024712286881928076), np.float64(2.4730233071431225)]",1.0
89,89,527.2817558159364,-4.149111719153578,[0.03],9.558652072262987,0.03,37.81266738400647,[51.09519425],1.0020009999999997,0.005434631164995852,tensor(-121.3459),"[np.float64(0.5767434131187799), np.float64(9.149450215611116), np.float64(0.02491125432279385), np.float64(2.473097424408553)]",1.0
90,90,524.1702434969882,-4.147406115146706,[0.03],9.506726987418052,0.03,37.83528118992685,[51.09519425],1.0020009999999997,0.005468149477482269,tensor(-121.2419),"[np.float64(0.5768229936265344), np.float64(9.149386955802354), np.float64(0.025110532661350708), np.float64(2.473171593581295)]",1.0
91,91,521.0500460765035,-4.145686059311894,[0.03],9.45461302317786,0.03,37.85792498142328,[51.09519425],1.0020009999999997,0.005501208032926746,tensor(-121.1375),"[np.float64(0.5769033081731395), np.float64(9.149323621942019), np.float64(0.0253100810906871), np.float64(2.473245808860257)]",1.0
