,Rho,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
15,1.9555263157894736,-401.39381998240333,-401.39382010003703,-392.94760469949887,-404.7954330216386,-399.1430943666035,[0.164],11.38623154839446,0.2,0.164,"(0,)",-401.93505616612805,-392.94760469809006,-401.93505628714706,[0.175],11.164376068549565,0.175
16,2.1047368421052632,-399.3405488025164,-399.340548946251,-390.9207865208769,-402.74586569019425,-397.1018101363835,[0.132],8.954974360471171,0.242,0.132,"(0,)",-399.87915554605536,-390.9207865195672,-399.87915569721946,[0.135],8.722641935433082,0.135
17,2.253947368421053,-397.28727748494146,-397.287277746759,-388.8939682617138,-400.69629827009663,-395.04799521612256,[0.118],6.97128746788862,0.29,0.118,"(0,)",-397.82325479656777,-388.8939682579375,-397.8232550678118,[0.125],6.697988049568271,0.125
18,2.403157894736842,-395.23400612964815,-395.2340065396224,-386.86714993806504,-398.64673110808855,-392.9893263798624,[0.09],5.381044442709575,0.34,0.09,"(0,)",-395.7673539712929,-386.867149930259,-395.7673544027406,[0.11],4.89691056272322,0.11
19,2.5523684210526314,-393.18073533074175,-393.1807355476413,-384.84033204581146,-396.59716407972826,-390.9306574816036,[0.058],4.19386601642349,0.41,0.058,"(0,)",-393.71145375856764,-384.8403320454064,-393.71145397993234,[0.055],3.604750708230227,0.055
20,2.701578947368421,-391.1274642660611,-391.1274644489753,-382.8135137313,-394.5475968271131,-388.871988953542,[0.05],3.31013915999611,0.47,0.05,"(0,)",-391.6555532366578,-382.8135137278361,-391.6555534249018,[0.035],2.92349795959759,0.035
21,2.8507894736842103,-389.0741930961445,-389.0741933050491,-380.7866954535587,-392.49802959589914,-386.813320076899,[0.04],2.5798766397403687,0.532,0.04,"(0,)",-389.5996526380178,-380.78669544817564,-389.599652844702,[0.035],2.395772685700491,0.035
22,3.0,-387.02092190196544,-387.0209221523466,-378.75987723092334,-390.44846237035097,-384.754651208865,[0.03],2.00653090320573,0.582,0.03,"(0,)",-387.5437519835336,-378.7598772247923,-387.5437522409811,[0.03],1.9377997985030155,0.03
23,3.0749999999999997,-385.988854285405,-385.9888546043291,-377.7411061932651,-389.41825624037267,-383.71987056414105,[0.03],1.7557052657859609,0.592,0.03,"(0,)",-386.5103627154461,-377.7411061872573,-386.51036303802744,[0.03],1.7085373682188685,0.03
24,3.2785714285714285,-383.18752819764705,-383.18752851865275,-374.9758705665537,-386.6219837008091,-380.9111798392168,[0.024],1.159826577669064,0.666,0.024,"(0,)",-383.70544921825086,-374.975870561825,-383.70544953946415,[0.025],1.130990007614476,0.025
25,3.4821428571428568,-380.38620214812903,-380.3862024389654,-372.2106347432147,-383.825710681655,-378.10248976492176,[0.014],0.747331841009742,0.73,0.014,"(0,)",-380.90053576156004,-372.2106347375626,-380.9005360548314,[0.025],0.6382004722878077,0.025
26,3.685714285714285,-377.58487621500365,-377.58487643046067,-369.4453990698646,-381.0294380378921,-375.29379955083857,[0.012],0.47797452413034586,0.774,0.012,"(0,)",-378.0956224228936,-369.44539906468935,-378.0956226345659,[0.015],0.26774800774792185,0.015
27,3.889285714285714,-374.7835502651829,-374.7835504223482,-366.6801637329476,-378.23316551522714,-372.4851092349088,[0.008],0.23101430356938324,0.81,0.008,"(0,)",-375.2907090615983,-366.68016373236225,-375.29070921509674,[0.005],0.08142188454804909,0.005
28,4.092857142857143,-371.98222431167085,-371.9822244152818,-363.91492804234736,-375.436892566372,-369.6764187625106,[0.002],0.0958952496385352,0.852,0.002,"(0,)",-372.4857956977599,-363.91492804177415,-372.4857958021579,[0.],0.015,0.0
29,4.296428571428572,-369.18089817247943,-369.18089831734517,-361.14969237705907,-372.6406198199303,-366.8677285280732,[0.002],0.04305056026653148,0.882,0.002,"(0,)",-369.6808821217144,-361.149692376585,-369.680882279051,[0.],0.015,0.0
30,4.5,-366.37957210921365,-366.37957226329706,-358.3844566010439,-369.84434725074357,-364.0590381933705,[0.],0.015,0.912,0.0,"(0,)",-366.8759686599699,-358.3844565996165,-366.87596882200444,[0.],0.015,0.0
31,4.65,-364.3154371894479,-364.31543731417497,-356.34691447359876,-367.7839355954321,-361.9894768834493,[0.],0.015,0.924,0.0,"(0,)",-364.809190400959,-356.34691447109435,-364.80919052579,[0.],0.015,0.0
32,5.550000000000001,-351.93005380680245,-351.9300539999702,-344.1216621401917,-355.41828105652485,-349.5721091538384,[0.],0.015,0.982,0.0,"(0,)",-352.40801472397817,-344.1216621395791,-352.40801494061134,[0.],0.015,0.0
33,6.449999999999999,-339.38018146887924,-339.38018160485575,-331.73745987611215,-342.8785058970072,-336.9978708974389,[0.],0.015,0.99,0.0,"(0,)",-339.8424593835843,-331.7374598753243,-339.8424595146342,[0.],0.015,0.0
34,7.3500000000000005,-326.8145285089732,-326.81452861183385,-319.33229731118695,-330.3331205890007,-324.400883271976,[0.],0.015,0.998,0.0,"(0,)",-327.2609804592081,-319.33229731074744,-327.26098056561545,[0.],0.015,0.0
35,8.25,-314.0325341046769,-314.03253417386696,-306.7278876597281,-317.5341865643478,-311.6139049770318,[0.],0.015,1.0,0.0,"(0,)",-314.46444416981603,-306.7278876594685,-314.4644442379321,[0.],0.015,0.0
