,Rho,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
10,1.5192307692307692,-3.4354214539524754,-4.600293262205239,1.0724206132831202,-6.622486680224117,0.0,[0.053],15.636061155797075,0.732,0.053,"(0,)",-3.5638090935989526,1.30692730157324,-4.688614427638668,[0.0625],14.18131797219328,0.0625
11,1.5961538461538463,-3.0381449748246334,-4.472313593556293,1.053310544252139,-6.467018668816198,0.0,[0.043],12.768082583764386,0.767,0.043,"(0,)",-3.1852258343720106,1.2702756099600219,-4.560458539149082,[0.0525],11.181259280284308,0.0525
12,1.6730769230769231,-2.6408685132541105,-4.339898154542677,1.0482814032234617,-6.311550657530557,0.0,[0.035],10.428418428161672,0.807,0.035,"(0,)",-2.806642588685751,1.2336776229701625,-4.430214269368155,[0.04],8.61578996773537,0.04
13,1.7499999999999998,-2.243592039106259,-4.204737549357498,1.0388440805294161,-6.156082646383549,0.0,[0.033],8.30533686482201,0.828,0.033,"(0,)",-2.4280593316528645,1.2323980050207515,-4.297888737911576,[0.0325],6.836723758425828,0.0325
14,1.826923076923077,-1.8463155659937038,-4.066824106495517,1.024567368776262,-6.000614635345104,0.0,[0.027],6.417394386210156,0.859,0.027,"(0,)",-2.0494760762826,1.236738291823561,-4.164747808541515,[0.0225],5.578444741235928,0.0225
15,1.9038461538461537,-1.4490390803911821,-3.9270191899876137,1.0023025588281644,-5.845146624256792,0.0,[0.02],4.949460669195753,0.886,0.02,"(0,)",-1.6708928094346391,1.2209906009400104,-4.028784594239295,[0.0125],4.721091277218853,0.0125
16,1.9807692307692308,-1.0517625832461226,-3.786077245520641,0.9882810185718217,-5.689678615892082,0.0,[0.015],3.884448451676915,0.9,0.015,"(0,)",-1.292309529033788,1.2344011036114866,-3.8900202546967546,[0.0075],4.185851937304315,0.0075
17,2.0576923076923075,-0.6544861088401553,-3.6445028649719338,0.9835241175634198,-5.534210615829513,0.0,[0.012],3.0141751643611077,0.915,0.012,"(0,)",-0.9137262717293992,1.2538580006064033,-3.750596897219144,[0.005],3.714183870343591,0.005
18,2.134615384615384,-0.21946554534492113,-3.5363060212440467,0.9737560131849292,-5.378742624995297,0.0,[0.01],2.3664395307757022,0.932,0.01,"(0,)",-0.4974453348449135,1.2515709533593629,-3.642777608062776,[0.005],3.376263488797505,0.005
19,2.2115384615384617,0.2637895710650144,-3.4385044100643327,0.9718426405372893,-5.22327466538267,0.0,[0.008],1.894276553006587,0.943,0.008,"(0,)",-0.031691856806963764,1.24928395530744,-3.545920218079244,[0.005],3.0383431814450854,0.005
