seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,nonrob_prob,nonrob_obj,scenario_probs,scenario_obj
70,2.364406779661017,70,0.2,0.5,1,-0.8548787581273376,0.015,-0.8600928129331676,0.016,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.406779661016949,70,0.2,0.5,1,-0.8545368675864303,0.015,-0.8597810173340238,0.015,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.4491525423728815,70,0.2,0.5,1,-0.8541901146123451,0.015,-0.8594534799096193,0.015,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.4915254237288136,70,0.2,0.5,1,-0.8538269101598966,0.015,-0.8591188276727482,0.015,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.5338983050847457,70,0.2,0.5,1,-0.8534685784994971,0.0125,-0.8587945591519232,0.013,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.5762711864406778,70,0.2,0.5,1,-0.8531097913116955,0.0125,-0.8584770991646303,0.013,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.61864406779661,70,0.2,0.5,1,-0.8527285420125801,0.0125,-0.8581460798397892,0.013,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.6610169491525424,70,0.2,0.5,1,-0.852356074426012,0.01,-0.8578280298115548,0.013,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.7033898305084745,70,0.2,0.5,1,-0.851999715367576,0.0125,-0.8575298591341908,0.013,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.7457627118644066,70,0.2,0.5,1,-0.8516612582176799,0.0125,-0.8572489558948246,0.013,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.788135593220339,70,0.2,0.5,1,-0.8513410041138973,0.0125,-0.8569806214600166,0.012,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.830508474576271,70,0.2,0.5,1,-0.8509831106630209,0.0125,-0.8566809839195425,0.012,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.8728813559322033,70,0.2,0.5,1,-0.8506152520200122,0.0125,-0.8563796537032236,0.01,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.9152542372881354,70,0.2,0.5,1,-0.8502662835572682,0.0125,-0.8560940722000837,0.01,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.9576271186440675,70,0.2,0.5,1,-0.8499361782352218,0.01,-0.8558236219673899,0.01,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,3.0,70,0.2,0.5,1,-0.8496207085587697,0.01,-0.8555657336979378,0.01,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
