seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
5,1.9693877551020407,5,0.01,10,1,-3.0585980635872945,0.0,-2.9924816980643976,0.0,0.00014618,1.0,0.993
5,2.010204081632653,5,0.01,10,1,-3.032465018423636,0.0,-2.962926478619427,0.0,0.00014618,1.0,0.994
5,2.0510204081632653,5,0.01,10,1,-3.0054618866134093,0.0,-2.9328722990161995,0.0,0.00014618,1.0,0.995
5,2.091836734693877,5,0.01,10,1,-2.978295694310707,0.0,-2.903121517188196,0.0,0.00014618,1.0,0.996
5,2.13265306122449,5,0.01,10,1,-2.95209974171351,0.0,-2.8742914834429807,0.0,0.00014618,1.0,0.997
5,2.1734693877551017,5,0.01,10,1,-2.9258201024352024,0.0,-2.845126476821258,0.0,0.00014618,1.0,0.997
5,2.2142857142857144,5,0.01,10,1,-2.8995129179619914,0.0,-2.815640782188523,0.0,0.00014618,1.0,0.998
5,2.2551020408163263,5,0.01,10,1,-2.8732057699608378,0.0,-2.785796206040071,0.0,0.00014618,1.0,0.998
5,2.2959183673469385,5,0.01,10,1,-2.857887106520916,0.0,-2.770074981276026,0.0,0.00014618,1.0,0.998
5,2.336734693877551,5,0.01,10,1,-2.84747202724431,0.0,-2.7595901659718938,0.0,0.00014618,1.0,0.998
5,2.377551020408163,5,0.01,10,1,-2.8392698741441453,0.0,-2.7503752246753104,0.0,0.00014618,1.0,0.999
5,2.4183673469387754,5,0.01,10,1,-2.8303527441338847,0.0,-2.740816526150561,0.0,0.00014618,1.0,0.999
5,2.4591836734693877,5,0.01,10,1,-2.820490736713234,0.0,-2.7305432295488896,0.0,0.00014618,1.0,0.999
5,2.5,5,0.01,10,1,-2.812340808785848,0.0,-2.7228738214344386,0.0,0.00014618,1.0,0.999
