,step,Lagrangian_val,Train_val,Probability_violations_train,Violations_train,Avg_prob_train,A_norm,lam_list,mu,alpha,alphagrad,gradnorm,grad,Rho
53,53,-22.101355607772426,-5.7702757957232205,[0.1],0.7045767227636615,0.1,14.82602457507508,[6.91280894],1,0.00015125408529552162,tensor(5.0783),"[np.float64(0.5946166444460732), np.float64(9.150776889304517), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
54,54,-22.136510516788693,-5.696198824311447,[0.09166667],0.6238114689344755,0.09166666666666666,14.82602457507508,[6.91280894],1,0.0001836370674345811,tensor(5.2338),"[np.float64(0.5970647613762018), np.float64(9.150207635062275), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
55,55,-22.21975991871187,-5.672704422095807,[0.1],0.6106873052537665,0.1,14.82602457507508,[6.91280894],1,-5.214475558520584e-05,tensor(-14.0021),"[np.float64(0.5969756820410609), np.float64(9.149874880880546), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
56,56,-22.36750013763987,-5.680749804941585,[0.1],0.6403610451965108,0.1,14.82602457507508,[6.91280894],1,0.0004593329090556266,tensor(5.0354),"[np.float64(0.5952732004996709), np.float64(9.149685914936846), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
57,57,-22.252676659254135,-5.706132819142787,[0.13333333],0.7396529909973235,0.13333333333333333,14.82602457507508,[6.91280894],1,0.0006167427078444316,tensor(4.2514),"[np.float64(0.5923131075149904), np.float64(9.149609461076166), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
58,58,-22.27395038231452,-5.7185899278080585,[0.13333333],0.751666976357149,0.13333333333333333,14.82602457507508,[6.91280894],1,0.0005301021598333467,tensor(4.2580),"[np.float64(0.5916158272287311), np.float64(9.149354482450937), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
59,59,-22.424929817757523,-5.723074049164311,[0.11666667],0.6945089234069839,0.11666666666666667,14.82602457507508,[6.91280894],1,0.0002478876125667991,tensor(4.6489),"[np.float64(0.5927083197874059), np.float64(9.14895814440322), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
60,60,-22.375404672411076,-5.71070380664616,[0.1],0.6569634964427847,0.1,14.82602457507508,[7.56977244],1,-0.00021032984892752041,tensor(-14.0882),"[np.float64(0.5939020388926904), np.float64(9.148552611484293), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
61,61,-9.796594255568655,-4.1709708635584635,[0.09166667],1.38887034103061,0.09166666666666666,14.92311676256155,[7.56977244],1,0.00012750556161377497,tensor(6.2213),"[np.float64(0.5932521694535486), np.float64(9.14830152423194), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
62,62,-10.069885244167594,-4.197246535042602,[0.09166667],1.3387339766182142,0.09166666666666666,14.92311676256155,[7.56977244],1,8.670990463039762e-05,tensor(6.1865),"[np.float64(0.5936064692761042), np.float64(9.148000522104283), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
