seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
9,1.064102564102564,9,0.15,1,1,1.1108574671159852,0.0225,0.6184414562105834,0.021,0.000242207,0.8125,0.813,-0.667440773134236,-0.48358823639642684,-4.00733291471023
9,1.1153846153846154,9,0.15,1,1,1.1340579174802743,0.0225,0.6009881447990301,0.018,0.000242207,0.8425,0.841,-0.11440094338777416,0.08238378488051808,-3.917762001776979
9,1.1666666666666665,9,0.15,1,1,1.1320116093615038,0.0175,0.5944583714585451,0.014,0.000242207,0.8625,0.859,0.4423359884154683,0.6520529056649552,-3.8292681281283394
9,1.217948717948718,9,0.15,1,1,1.1299653008638588,0.0125,0.5915572105826155,0.01,0.000242207,0.87,0.875,1.0208445555326826,1.2434936670498895,-3.756416963267653
9,1.2692307692307692,9,0.15,1,1,1.1279190129047052,0.01,0.6143939032546885,0.008,0.000242207,0.895,0.896,1.6196274809907212,1.8549953709014866,-3.6830983223714955
9,1.3205128205128205,9,0.15,1,1,1.125872699841559,0.0075,0.6143058337254469,0.006,0.000242207,0.9125,0.911,2.2293333233878565,2.47730500686078,-3.608998920764705
9,1.3717948717948718,9,0.15,1,1,1.1238264006973055,0.005,0.6142177756026445,0.003,0.000242207,0.93,0.929,2.8390391340558376,3.0996146152487856,-3.5342811984813394
9,1.423076923076923,9,0.15,1,1,1.0968516528705448,0.005,0.5892286890907042,0.003,0.000242207,0.9475,0.943,3.4487449653836935,3.721924244663949,-3.458806587321238
9,1.4743589743589745,9,0.15,1,1,1.1240920717175535,0.005,0.5829304753745653,0.002,0.000242207,0.9575,0.951,4.058450788146965,4.344233865142792,-3.3821979763629035
9,1.5256410256410255,9,0.15,1,1,1.1316875216930387,0.005,0.5844907221019022,0.002,0.000242207,0.9675,0.958,4.668156604767207,4.966543478733516,-3.303311423302255
9,1.5769230769230769,9,0.15,1,1,1.1392829706502874,0.005,0.5946078781774954,0.001,0.000242207,0.975,0.968,5.277862430708046,5.588853101686925,-3.221894083772774
9,1.6282051282051282,9,0.15,1,1,1.1268563309564026,0.005,0.6031363357520373,0.001,0.000242207,0.9775,0.974,5.9113542467101095,6.240372299859317,-3.161222182205667
9,1.6794871794871795,9,0.15,1,1,1.141794347903756,0.0025,0.61446006044168,0.001,0.000242207,0.9875,0.975,6.562493162569314,6.913157399658948,-3.12850916931011
9,1.7307692307692308,9,0.15,1,1,1.1567323632253697,0.0025,0.6319665273645004,0.001,0.000242207,0.99,0.98,7.213632087595429,7.5859425084718515,-3.094986734193407
9,1.782051282051282,9,0.15,1,1,1.171670378196808,0.0025,0.6424793220714161,0.001,0.000242207,0.99,0.983,7.864771014518107,8.258727619971697,-3.0594246146854904
9,1.8333333333333333,9,0.15,1,1,1.186608393931763,0.0025,0.6650331042583694,0.001,0.000242207,0.9925,0.989,8.515909942733439,8.931512732845423,-3.0226583679340266
9,1.8846153846153846,9,0.15,1,1,1.2015464078750124,0.0025,0.6875868852973318,0.0,0.000242207,0.9925,0.993,9.167048863097685,9.604297838662276,-2.9852815833897566
9,1.935897435897436,9,0.15,1,1,1.2164844184984895,0.0025,0.71014066341035,0.0,0.000242207,0.9925,0.993,9.818187771983524,10.277082934253968,-2.9461485727209955
9,1.9871794871794872,9,0.15,1,1,1.2314224293857,0.0025,0.7280338173947676,0.0,0.000242207,0.9925,0.993,10.469326677903853,10.949868027470016,-2.905970740004006
9,2.0384615384615383,9,0.15,1,1,1.2463604646037443,0.0,0.7548322935397559,0.0,0.000242207,0.995,0.996,11.120465693884457,11.622653219589592,-2.8655406618847614
9,2.0897435897435894,9,0.15,1,1,1.239445625982403,0.0,0.7816307570375668,0.0,0.000242207,0.995,0.998,11.771604611505277,12.295438319501367,-2.823386249575275
9,2.141025641025641,9,0.15,1,1,1.2614069641570627,0.0,0.8084292182591561,0.0,0.000242207,1.0,1.0,12.422743551714024,12.968223445625263,-2.7798176494933697
9,2.1923076923076925,9,0.15,1,1,1.2813042083829733,0.0,0.8188319044433274,0.0,0.000242207,1.0,1.0,13.079533200682185,13.64562741190029,-2.737600636174704
9,2.2435897435897436,9,0.15,1,1,1.2772356419101663,0.0,0.8466280302811285,0.0,0.000242207,1.0,1.0,13.754904545255588,14.342464574161118,-2.710626385096213
9,2.2948717948717947,9,0.15,1,1,1.3021028324085189,0.0,0.8814975126807986,0.0,0.000242207,1.0,1.0,14.439349388656545,15.049414238038826,-2.6936204283219456
9,2.346153846153846,9,0.15,1,1,1.3036480339391974,0.0,0.9101165218939039,0.0,0.000242207,1.0,1.0,15.135125797647998,15.764484859570599,-2.6804461237674353
9,2.3974358974358974,9,0.15,1,1,1.33503904602207,0.0,0.9415944552900297,0.0,0.000242207,1.0,1.0,15.830902193340341,16.479555466131803,-2.666319175007432
9,2.448717948717949,9,0.15,1,1,1.3664300569946428,0.0,0.9809884254045902,0.0,0.000242207,1.0,1.0,16.53087215043438,17.19763146030131,-2.653367871602178
9,2.5,9,0.15,1,1,1.3734792705083076,0.0,1.0143010954635279,0.0,0.000242207,1.0,1.0,17.235946504232594,17.919826305970922,-2.6460276582307585
