seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
90,1.8564102564102565,90,0.25,1,1,-0.8490458881186297,0.0,-0.8728062128167737,0.0,0.003024265
90,2.0076923076923077,90,0.25,1,1,-0.8500929625630359,0.0,-0.8720665996348437,0.0,0.003024265
90,2.1589743589743593,90,0.25,1,1,-0.8507416353484727,0.0,-0.8710658116453022,0.0,0.003024265
90,2.3102564102564105,90,0.25,1,1,-0.8511862240142359,0.0,-0.8692959153200138,0.0,0.003024265
90,2.4615384615384617,90,0.25,1,1,-0.8514904769301147,0.0,-0.8675706251931967,0.0,0.003024265
90,2.6128205128205133,90,0.25,1,1,-0.8517752333273078,0.0,-0.8661603974669606,0.0,0.003024265
90,2.7641025641025645,90,0.25,1,1,-0.8520649633404963,0.0,-0.8650681466247688,0.0,0.003024265
90,2.9153846153846157,90,0.25,1,1,-0.8525743496421313,0.0,-0.864291155139093,0.0,0.003024265
90,3.066666666666667,90,0.25,1,1,-0.8532298086336126,0.0,-0.8652202065129277,0.0,0.003024265
90,3.2179487179487185,90,0.25,1,1,-0.8535926151793095,0.0,-0.8658483948631073,0.0,0.003024265
90,3.3692307692307697,90,0.25,1,1,-0.8535661999132212,0.0,-0.866051259245829,0.0,0.003024265
90,3.520512820512821,90,0.25,1,1,-0.8534103887963285,0.0,-0.8659715583585992,0.0,0.003024265
90,3.671794871794872,90,0.25,1,1,-0.8528753201396754,0.0,-0.8656408502683339,0.0,0.003024265
90,3.8230769230769233,90,0.25,1,1,-0.8523908379007582,0.0,-0.8652694422707492,0.0,0.003024265
90,3.974358974358975,90,0.25,1,1,-0.8518242247732917,0.0,-0.8648428084462529,0.0,0.003024265
90,4.125641025641026,90,0.25,1,1,-0.8513032710797597,0.0,-0.8644418985336968,0.0,0.003024265
90,4.276923076923078,90,0.25,1,1,-0.8512529241486212,0.0,-0.8643516016495046,0.0,0.003024265
90,4.4282051282051285,90,0.25,1,1,-0.8512015828464023,0.0,-0.8642507452019241,0.0,0.003024265
90,4.57948717948718,90,0.25,1,1,-0.8511332541009006,0.0,-0.8638985564314328,0.0,0.003024265
90,4.730769230769232,90,0.25,1,1,-0.8508445229209621,0.0,-0.8634111570868391,0.0,0.003024265
90,4.8820512820512825,90,0.25,1,1,-0.8503963107540006,0.0,-0.8628983102899599,0.0,0.003024265
90,5.033333333333333,90,0.25,1,1,-0.8498658958637658,0.0,-0.8623321283209473,0.0,0.003024265
90,5.184615384615386,90,0.25,1,1,-0.8493534214295491,0.0,-0.8617711449209876,0.0,0.003024265
90,5.3358974358974365,90,0.25,1,1,-0.8488365659111042,0.0,-0.861206319131859,0.0,0.003024265
90,5.487179487179487,90,0.25,1,1,-0.8483401509129556,0.0,-0.860676127356884,0.0,0.003024265
90,5.63846153846154,90,0.25,1,1,-0.848111502099986,0.0,-0.8602955568397008,0.0,0.003024265
90,5.7897435897435905,90,0.25,1,1,-0.8479573253898175,0.0,-0.8599809939336236,0.0,0.003024265
90,5.941025641025641,90,0.25,1,1,-0.8478059028938628,0.0,-0.8596834463406252,0.0,0.003024265
90,6.092307692307694,90,0.25,1,1,-0.8478389225879631,0.0,-0.8594830495822868,0.0,0.003024265
90,6.2435897435897445,90,0.25,1,1,-0.8478029362646055,0.0,-0.8593533118202206,0.0,0.003024265
90,6.394871794871795,90,0.25,1,1,-0.8477589511404573,0.0,-0.8592151096645286,0.0,0.003024265
90,6.546153846153846,90,0.25,1,1,-0.8477047309870385,0.0,-0.8590647237131418,0.0,0.003024265
90,6.6974358974358985,90,0.25,1,1,-0.8476042878690628,0.0,-0.8588352965730486,0.0,0.003024265
90,6.848717948717949,90,0.25,1,1,-0.8473621378186706,0.0,-0.8585006771624396,0.0,0.003024265
90,7.0,90,0.25,1,1,-0.847102943685419,0.0,-0.858142840863968,0.0,0.003024265
