,Rho,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
10,1.2094736842105263,-413.81533662809244,-413.815336837553,-402.8514838422729,-419.1368419509327,-406.2216320976589,[0.556],40.97173856415045,0.086,0.556,"(0,)",-414.1900966090405,-402.8514838508677,-414.19009681729585,[0.63],43.13348823030031,0.63
11,1.3586842105263157,-411.95293698602813,-411.9529371265318,-400.95141297379746,-416.78832735518284,-403.6817384095011,[0.47],33.23576065771706,0.136,0.47,"(0,)",-412.2781440818324,-400.95141297855224,-412.27814424415743,[0.545],34.150009174359504,0.545
12,1.5078947368421054,-410.09053709000045,-410.09053730995004,-399.05134174131024,-414.8238191914971,-401.141844665317,[0.384],26.952542210538265,0.21,0.384,"(0,)",-410.36619140246216,-399.05134189845955,-410.3661916373274,[0.435],26.598014771888625,0.435
13,1.6571052631578949,-408.2281371823363,-408.228137415856,-396.9730152832582,-412.85931071118284,-398.60195074764675,[0.34],21.718661534175787,0.276,0.34,"(0,)",-408.45423870496626,-396.982397160242,-408.454238939614,[0.335],20.38409750791385,0.335
14,1.8063157894736843,-406.36573748381625,-406.3657376566597,-394.1546038900662,-411.07179705217396,-396.0620572289145,[0.292],17.236344176852462,0.364,0.292,"(0,)",-406.5422861776593,-394.2123194614989,-406.542286347715,[0.265],15.576447059487615,0.265
15,1.9555263157894736,-404.50333760595083,-404.5033377963319,-391.3361922224545,-409.83331865795344,-393.52216355980306,[0.238],13.480499138590401,0.42,0.238,"(0,)",-404.630333471699,-391.4422415195696,-404.63033366262755,[0.235],11.639138192180617,0.235
16,2.1047368421052632,-402.64093784690283,-402.6409380522221,-388.51778055062476,-408.5948402117367,-391.4510584801044,[0.196],10.455680850496105,0.49,0.196,"(0,)",-402.71838085304876,-388.6474905143791,-402.71838107694305,[0.185],8.430128115845568,0.185
17,2.253947368421053,-400.7785381035658,-400.7785382403414,-385.69936888376935,-407.3563618164063,-389.55098765964465,[0.16],7.978068317315993,0.544,0.16,"(0,)",-400.8064282802094,-385.84373768364475,-400.8064284387711,[0.125],6.198547665921047,0.125
18,2.403157894736842,-398.91613819082283,-398.9161383692216,-382.88095721517084,-406.11788335389053,-387.65091667905074,[0.108],6.130419006167711,0.594,0.108,"(0,)",-398.89447555620296,-383.0399848575356,-398.8944757435775,[0.095],4.708235461115654,0.095
19,2.5523684210526314,-397.0537383482973,-397.0537385708202,-380.06254517411975,-404.8794048969233,-385.7508457561348,[0.076],4.800271092936479,0.63,0.076,"(0,)",-396.98252288285045,-380.2362317057691,-396.9825231209585,[0.075],3.6277677919444353,0.075
20,2.701578947368421,-395.19133858121666,-395.1913387496539,-377.24413386902626,-403.64092644353576,-383.85077500852304,[0.062],3.691840779444163,0.672,0.062,"(0,)",-395.0705702927553,-377.4324791848997,-395.07057048000354,[0.06],2.7662924413535155,0.06
21,2.8507894736842103,-393.32893868269457,-393.3289388795699,-374.4257218769748,-402.40244798775905,-381.9507040400746,[0.052],2.847566236698799,0.72,0.052,"(0,)",-393.158617609543,-374.62872606567106,-393.1586178065238,[0.045],2.0304269044800756,0.045
22,3.0,-391.46653896165407,-391.466539134941,-371.60731039428674,-401.16396953636695,-380.0506333330898,[0.04],2.184790706272088,0.77,0.04,"(0,)",-391.2466650151756,-371.82497340222426,-391.24666521432795,[0.035],1.449122142821721,0.035
23,3.0749999999999997,-390.5304119948163,-390.53041217897334,-370.1906485268917,-400.5414538989771,-379.0955712504733,[0.038],1.8843339428164865,0.802,0.038,"(0,)",-390.28563056164944,-370.41567972808025,-390.2856307627317,[0.035],1.2001874543555628,0.035
24,3.2785714285714285,-387.9894963054268,-387.98949641425986,-366.34542322696564,-398.851768661071,-376.5032598820446,[0.028],1.2384036197443646,0.842,0.028,"(0,)",-387.6771087847394,-366.590453823364,-387.677108908683,[0.015],0.7411881923759717,0.015
